date,close,ret,ret_3,ret_6,ret_12,ret_22,temp,temp_ch_11,temp_ch_22,vol_22,vol_66,rate,yc_spread,credit_spread,yc_change_22,credit_change_22,port_unlevered,port_tqqq,port_cash,port_total,deployed_p,base_p,target_p,block_buy,block_sell,forced_derisk
2016-09-21,3.009999990463257,0.0,,,,,0.6127387168397694,,,,,0.41,0.87,2.7,,,0.0,1.0000162698412698,0.0,1.0000162698412698,1.0,1.0,1.0,0,0,0
2016-09-22,2.890000104904175,-0.03986707174062598,,,,,0.5876877152259186,,,,,0.41,0.84,2.69,,,0.0,0.8803389938597954,0.0,0.8803389938597954,1.0,1.0,1.0,0,0,0
2016-09-23,2.7660000324249268,-0.04290659791632068,-0.08106310923967053,,,,0.5618764893872092,,,,,0.41,0.85,2.68,,,0.0,0.7669573707605861,0.0,0.7669573707605861,1.0,1.0,1.0,0,0,0
2016-09-26,2.7769999504089355,0.003976832196334268,-0.03910039806001531,,,,0.5623210324709832,,,,,0.41,0.83,2.7,,,0.0,0.7760422188315991,0.0,0.7760422188315991,1.0,1.0,1.0,0,0,0
2016-09-27,2.997999906539917,0.079582268663144,0.08387558618775515,,,,0.6064290483664192,,,,,0.41,0.81,2.69,,,0.0,0.9612388941414145,0.0,0.9612388941414145,1.0,1.0,1.0,0,0,0
2016-09-28,3.3389999866485596,0.11374252526318496,0.20237668213024818,0.10930232466036238,,,0.674690700097749,,,,,0.41,0.82,2.69,,,0.0,1.289131581034622,0.0,1.289131581034622,1.0,1.0,1.0,0,0,0
2016-09-29,2.8989999294281006,-0.13177599849651345,-0.033022008071399656,0.003114126019806651,,,0.5851624327875271,,,,,0.41,0.83,2.67,,,0.0,0.7794361572248787,0.0,0.7794361572248787,1.0,1.0,1.0,0,0,0
2016-09-30,2.9210000038146973,0.007588849576459555,-0.1251871771504317,0.05603758842109752,,,0.5889788707120969,,,,,0.41,0.83,2.69,,,0.0,0.797114120232541,0.0,0.797114120232541,1.0,1.0,1.0,0,0,0
2016-10-03,2.638000011444092,-0.09688462581342694,-0.09003101908853706,-0.050053994039277905,,,0.5302280840641878,,,,,0.41,0.83,2.66,,,0.0,0.5653822114568949,0.0,0.5653822114568949,1.0,1.0,1.0,0,0,0
2016-10-04,2.382999897003174,-0.09666418246197273,-0.18418353512801067,-0.20513676741455722,,,0.47846688214949484,,,,,0.41,0.87,2.66,,,0.0,0.4013917909330313,0.0,0.4013917909330313,1.0,1.0,1.0,0,0,0
2016-10-05,2.4779999256134033,0.03986572921371101,-0.06065204137095559,-0.2578616545306921,,,0.4970145166120002,,,,,0.41,0.87,2.64,,,0.0,0.4493592891579612,0.0,0.4493592891579612,1.0,1.0,1.0,0,0,0
2016-10-06,2.6080000400543213,0.05246171038876768,0.09441886394292531,-0.10037940547007407,-0.13355480122345964,,0.5225349019206484,-0.14721415905355495,,,,0.41,0.89,2.61,,,0.0,0.5200379783412392,0.0,0.5200379783412392,1.0,1.0,1.0,0,0,0
2016-10-07,2.625999927520752,0.006901797235423279,0.059725587711917605,-0.1009928366684999,-0.09134953903130616,,0.5255842534660023,-0.10567425547774545,,,,0.41,0.9,2.63,,,0.0,0.5307608841524811,0.0,0.5307608841524811,1.0,1.0,1.0,0,0,0
2016-10-10,2.5280001163482666,-0.03731904565016819,-0.03067481690084195,-0.04169821630728843,-0.08604479872981341,,0.5043644889625416,-0.1023570153066754,,,,0.41,0.9,2.63,,,0.0,0.47129873698419883,0.0,0.47129873698419883,1.0,1.0,1.0,0,0,0
2016-10-11,2.552000045776367,0.009493642533042523,-0.02817969679620258,0.07091907514797868,-0.08102265345717252,,0.508613654245127,-0.09551017145820107,,,,0.41,0.9,2.6,,,0.0,0.48468095738069067,0.0,0.48468095738069067,1.0,1.0,1.0,0,0,0
2016-10-12,2.690000057220459,0.054075238624108124,0.06408225214253704,0.08555292089227051,-0.10273510971350563,,0.535549418270793,-0.11688033461879777,,,,0.41,0.92,2.6,,,0.0,0.5632612522552487,0.0,0.5632612522552487,1.0,1.0,1.0,0,0,0
2016-10-13,2.5969998836517334,-0.03457255449459784,0.01763316499536982,-0.004217851316581589,-0.22222225395741635,,0.5164866711560162,-0.23448378481993637,,,,0.41,0.9,2.59,,,0.0,0.50479861274581,0.0,0.50479861274581,1.0,1.0,1.0,0,0,0
2016-10-14,2.635999917984009,0.01501734157855883,-0.020074400776127765,0.0038080695884474824,-0.0907209444106386,,0.523687859551335,-0.10505557054192094,,,,0.41,0.96,2.63,,,0.0,0.5274964029347554,0.0,0.5274964029347554,1.0,1.0,1.0,0,0,0
2016-10-17,2.627000093460083,-0.003414197573575306,0.01155187183380435,0.03916138154883608,-0.10065043134908025,,0.5202438776913931,-0.11670196748756134,,,,0.41,0.96,2.62,,,0.0,0.5220495212863968,0.0,0.5220495212863968,1.0,1.0,1.0,0,0,0
2016-10-18,2.5880000591278076,-0.014845844288078225,-0.01820935521610756,0.014106588050819768,-0.018953734685131174,,0.511977761517535,-0.03441975839296241,,,,0.41,0.93,2.62,,,0.0,0.49875673374057866,0.0,0.49875673374057866,1.0,1.0,1.0,0,0,0
2016-10-19,2.5460000038146973,-0.016228769070146365,-0.030833683579622018,-0.0535316172277539,0.06840122276820493,,0.5031357079714665,0.051558063352572736,,,,0.41,0.95,2.62,,,0.0,0.47443416803632693,0.0,0.47443416803632693,1.0,1.0,1.0,0,0,0
2016-10-20,2.6489999294281006,0.04045558737591426,0.023570273920646923,0.020023122104744884,0.06900726753345965,-0.11993357547472827,0.5229360870214069,0.05215455392753188,-0.1465594181505684,0.05808036875745587,,0.41,0.92,2.59,,,0.0,0.5319699208336162,0.0,0.5319699208336162,1.0,1.0,1.0,0,0,0
